state,state_name,year,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
alabama,Alabama,1977,0.97,0.12,0.82,1.92,229.9259,23.814,170.2514,409.6
alabama,Alabama,1978,0.95,0.12,0.85,1.92,225.1852,23.814,176.4801,409.6
alabama,Alabama,1979,0.96,0.12,0.82,1.9,227.5556,23.814,170.2514,405.3333
alabama,Alabama,1980,0.95,0.16,0.74,1.86,225.1852,31.7519,153.6415,396.8
alabama,Alabama,1981,1.0,0.19,0.73,1.91,237.037,37.7054,151.5653,407.4667
alabama,Alabama,1982,1.0,0.18,0.72,1.9,237.037,35.7209,149.4891,405.3333
alabama,Alabama,1983,1.01,0.17,0.72,1.9,239.4074,33.7364,149.4891,405.3333
alabama,Alabama,1984,1.03,0.19,0.69,1.91,244.1481,37.7054,143.2603,407.4667
alabama,Alabama,1985,1.07,0.17,0.67,1.92,253.6296,33.7364,139.1079,409.6
alabama,Alabama,1986,1.1,0.18,0.65,1.92,260.7407,35.7209,134.9554,409.6
alabama,Alabama,1987,1.11,0.18,0.62,1.91,263.1111,35.7209,128.7267,407.4667
alabama,Alabama,1988,1.12,0.19,0.62,1.92,265.4815,37.7054,128.7267,409.6
alabama,Alabama,1989,1.12,0.17,0.61,1.9,265.4815,33.7364,126.6504,405.3333
alabama,Alabama,1990,1.12,0.18,0.61,1.92,265.4815,35.7209,126.6504,409.6
alabama,Alabama,1991,1.0,0.17,0.59,1.76,237.037,33.7364,122.498,375.4667
alabama,Alabama,1992,1.02,0.19,0.59,1.79,241.7778,37.7054,122.498,381.8667
alabama,Alabama,1993,1.14,0.17,0.56,1.86,270.2222,33.7364,116.2693,396.8
alabama,Alabama,1994,1.16,0.17,0.54,1.87,274.963,33.7364,112.1168,398.9333
alabama,Alabama,1995,1.14,0.16,0.53,1.82,270.2222,31.7519,110.0406,388.2667
alabama,Alabama,1996,1.17,0.18,0.53,1.88,277.3333,35.7209,110.0406,401.0667
alabama,Alabama,1997,1.14,0.16,0.52,1.82,270.2222,31.7519,107.9643,388.2667
alabama,Alabama,1998,1.16,0.17,0.51,1.85,274.963,33.7364,105.8881,394.6667
alabama,Alabama,1999,1.18,0.17,0.51,1.87,279.7037,33.7364,105.8881,398.9333
alabama,Alabama,2000,1.19,0.18,0.51,1.88,282.0741,35.7209,105.8881,401.0667
alabama,Alabama,2001,1.16,0.17,0.53,1.86,274.963,33.7364,110.0406,396.8
alabama,Alabama,2002,1.18,0.21,0.54,1.92,279.7037,41.6744,112.1168,409.6
alabama,Alabama,2003,1.19,0.19,0.52,1.9,282.0741,37.7054,107.9643,405.3333
alabama,Alabama,2004,1.19,0.2,0.52,1.91,282.0741,39.6899,107.9643,407.4667
alabama,Alabama,2005,1.18,0.2,0.53,1.91,279.7037,39.6899,110.0406,407.4667
alabama,Alabama,2006,1.21,0.21,0.54,1.95,286.8148,41.6744,112.1168,416.0
alabama,Alabama,2007,1.23,0.22,0.55,2.0,291.5556,43.6589,114.193,426.6667
alabama,Alabama,2008,1.22,0.22,0.57,2.01,289.1852,43.6589,118.3455,428.8
alabama,Alabama,2009,1.19,0.22,0.57,1.98,282.0741,43.6589,118.3455,422.4
alabama,Alabama,2010,1.17,0.23,0.58,1.98,277.3333,45.6434,120.4217,422.4
alabama,Alabama,2011,1.16,0.24,0.59,1.98,274.963,47.6279,122.498,422.4
alabama,Alabama,2012,1.16,0.24,0.6,2.0,274.963,47.6279,124.5742,426.6667
alabama,Alabama,2013,1.14,0.25,0.6,1.99,270.2222,49.6124,124.5742,424.5333
alabama,Alabama,2014,1.13,0.25,0.62,2.0,267.8519,49.6124,128.7267,426.6667
alabama,Alabama,2015,1.11,0.26,0.64,2.01,263.1111,51.5969,132.8792,428.8
alabama,Alabama,2016,1.09,0.26,0.65,2.01,258.3704,51.5969,134.9554,428.8
alabama,Alabama,2017,1.07,0.26,0.67,1.99,253.6296,51.5969,139.1079,424.5333
alabama,Alabama,2018,1.04,0.26,0.69,1.99,246.5185,51.5969,143.2603,424.5333
alabama,Alabama,2019,1.02,0.26,0.71,1.99,241.7778,51.5969,147.4128,424.5333
alabama,Alabama,2020,1.03,0.25,0.77,2.05,244.1481,49.6124,159.8702,437.3333
alabama,Alabama,2021,1.01,0.25,0.81,2.08,239.4074,49.6124,168.1752,443.7333
alabama,Alabama,2022,0.96,0.24,0.81,2.01,227.5556,47.6279,168.1752,428.8
alabama,Alabama,2023,0.9,0.23,0.83,1.95,213.3333,45.6434,172.3277,416.0
alaska,Alaska,1977,1.19,0.42,1.69,3.3,282.0741,83.3488,350.884,704.0
alaska,Alaska,1978,1.39,0.45,1.67,3.51,329.4815,89.3023,346.7315,748.8
alaska,Alaska,1979,1.48,0.46,1.63,3.58,350.8148,91.2868,338.4266,763.7333
alaska,Alaska,1980,1.54,0.5,1.68,3.72,365.037,99.2248,348.8078,793.6
alaska,Alaska,1981,1.68,0.56,1.79,4.02,398.2222,111.1318,371.6464,857.6
alaska,Alaska,1982,1.69,0.54,1.68,3.92,400.5926,107.1628,348.8078,836.2667
alaska,Alaska,1983,1.71,0.59,1.65,3.95,405.3333,117.0853,342.5791,842.6667
alaska,Alaska,1984,1.67,0.56,1.5,3.72,395.8519,111.1318,311.4355,793.6
alaska,Alaska,1985,1.63,0.56,1.48,3.68,386.3704,111.1318,307.283,785.0667
alaska,Alaska,1986,1.65,0.55,1.25,3.45,391.1111,109.1473,259.5296,736.0
alaska,Alaska,1987,1.6,0.52,1.26,3.38,379.2593,103.1938,261.6058,721.0667
alaska,Alaska,1988,1.54,0.47,1.19,3.21,365.037,93.2713,247.0722,684.8
alaska,Alaska,1989,1.52,0.44,1.19,3.15,360.2963,87.3178,247.0722,672.0
alaska,Alaska,1990,1.62,0.46,1.25,3.33,384.0,91.2868,259.5296,710.4
alaska,Alaska,1991,1.54,0.43,1.14,3.11,365.037,85.3333,236.691,663.4667
alaska,Alaska,1992,1.53,0.41,1.08,3.02,362.6667,81.3643,224.2336,644.2667
alaska,Alaska,1993,1.31,0.32,0.92,2.55,310.5185,63.5039,191.0138,544.0
alaska,Alaska,1994,1.53,0.4,1.1,3.03,362.6667,79.3798,228.3861,646.4
alaska,Alaska,1995,1.45,0.39,1.02,2.86,343.7037,77.3953,211.7762,610.1333
alaska,Alaska,1996,1.31,0.38,0.94,2.63,310.5185,75.4109,195.1663,561.0667
alaska,Alaska,1997,1.31,0.36,0.88,2.56,310.5185,71.4419,182.7088,546.1333
alaska,Alaska,1998,1.39,0.37,0.95,2.71,329.4815,73.4264,197.2425,578.1333
alaska,Alaska,1999,1.4,0.38,0.95,2.74,331.8519,75.4109,197.2425,584.5333
alaska,Alaska,2000,1.37,0.37,0.94,2.68,324.7407,73.4264,195.1663,571.7333
alaska,Alaska,2001,1.32,0.38,0.96,2.67,312.8889,75.4109,199.3187,569.6
alaska,Alaska,2002,1.35,0.45,1.19,2.99,320.0,89.3023,247.0722,637.8667
alaska,Alaska,2003,1.27,0.37,0.79,2.43,301.037,73.4264,164.0227,518.4
alaska,Alaska,2004,1.31,0.44,0.95,2.71,310.5185,87.3178,197.2425,578.1333
alaska,Alaska,2005,1.23,0.43,0.98,2.64,291.5556,85.3333,203.4712,563.2
alaska,Alaska,2006,1.25,0.47,1.03,2.75,296.2963,93.2713,213.8524,586.6667
alaska,Alaska,2007,1.13,0.44,0.96,2.53,267.8519,87.3178,199.3187,539.7333
alaska,Alaska,2008,1.2,0.49,1.09,2.78,284.4444,97.2403,226.3098,593.0667
alaska,Alaska,2009,1.32,0.54,1.16,3.02,312.8889,107.1628,240.8435,644.2667
alaska,Alaska,2010,1.23,0.55,1.25,3.03,291.5556,109.1473,259.5296,646.4
alaska,Alaska,2011,1.15,0.54,1.17,2.86,272.5926,107.1628,242.9197,610.1333
alaska,Alaska,2012,1.17,0.53,1.13,2.83,277.3333,105.1783,234.6148,603.7333
alaska,Alaska,2013,1.07,0.52,1.17,2.75,253.6296,103.1938,242.9197,586.6667
alaska,Alaska,2014,1.11,0.52,1.17,2.8,263.1111,103.1938,242.9197,597.3333
alaska,Alaska,2015,1.11,0.53,1.2,2.84,263.1111,105.1783,249.1484,605.8667
alaska,Alaska,2016,1.15,0.56,1.23,2.94,272.5926,111.1318,255.3771,627.2
alaska,Alaska,2017,1.06,0.53,1.22,2.81,251.2593,105.1783,253.3009,599.4667
alaska,Alaska,2018,1.06,0.53,1.25,2.85,251.2593,105.1783,259.5296,608.0
alaska,Alaska,2019,1.07,0.53,1.27,2.87,253.6296,105.1783,263.6821,612.2667
alaska,Alaska,2020,1.02,0.51,1.26,2.79,241.7778,101.2093,261.6058,595.2
alaska,Alaska,2021,1.01,0.51,1.27,2.79,239.4074,101.2093,263.6821,595.2
alaska,Alaska,2022,1.02,0.53,1.32,2.86,241.7778,105.1783,274.0633,610.1333
alaska,Alaska,2023,0.96,0.54,1.32,2.81,227.5556,107.1628,274.0633,599.4667
arizona,Arizona,1977,1.6,0.32,0.99,2.92,379.2593,63.5039,205.5474,622.9333
arizona,Arizona,1978,1.66,0.35,1.03,3.04,393.4815,69.4574,213.8524,648.5333
arizona,Arizona,1979,1.71,0.36,1.07,3.15,405.3333,71.4419,222.1573,672.0
arizona,Arizona,1980,1.68,0.36,0.97,3.01,398.2222,71.4419,201.395,642.1333
arizona,Arizona,1981,1.76,0.42,1.0,3.18,417.1852,83.3488,207.6237,678.4
arizona,Arizona,1982,1.71,0.39,0.98,3.07,405.3333,77.3953,203.4712,654.9333
arizona,Arizona,1983,1.6,0.43,0.99,3.02,379.2593,85.3333,205.5474,644.2667
arizona,Arizona,1984,1.55,0.44,1.05,3.04,367.4074,87.3178,218.0049,648.5333
arizona,Arizona,1985,1.66,0.45,0.99,3.11,393.4815,89.3023,205.5474,663.4667
arizona,Arizona,1986,1.74,0.45,0.9,3.09,412.4444,89.3023,186.8613,659.2
arizona,Arizona,1987,1.64,0.45,0.84,2.93,388.7407,89.3023,174.4039,625.0667
arizona,Arizona,1988,1.6,0.41,0.86,2.87,379.2593,81.3643,178.5564,612.2667
arizona,Arizona,1989,1.63,0.35,0.83,2.81,386.3704,69.4574,172.3277,599.4667
arizona,Arizona,1990,1.59,0.37,0.8,2.77,376.8889,73.4264,166.0989,590.9333
arizona,Arizona,1991,1.58,0.35,0.78,2.71,374.5185,69.4574,161.9465,578.1333
arizona,Arizona,1992,1.58,0.31,0.8,2.69,374.5185,61.5194,166.0989,573.8667
arizona,Arizona,1993,1.58,0.27,0.76,2.62,374.5185,53.5814,157.794,558.9333
arizona,Arizona,1994,1.52,0.29,0.7,2.5,360.2963,57.5504,145.3366,533.3333
arizona,Arizona,1995,1.47,0.29,0.68,2.44,348.4444,57.5504,141.1841,520.5333
arizona,Arizona,1996,1.52,0.33,0.73,2.58,360.2963,65.4884,151.5653,550.4
arizona,Arizona,1997,1.45,0.31,0.68,2.44,343.7037,61.5194,141.1841,520.5333
arizona,Arizona,1998,1.44,0.33,0.68,2.45,341.3333,65.4884,141.1841,522.6667
arizona,Arizona,1999,1.47,0.34,0.69,2.51,348.4444,67.4729,143.2603,535.4667
arizona,Arizona,2000,1.48,0.31,0.71,2.5,350.8148,61.5194,147.4128,533.3333
arizona,Arizona,2001,1.47,0.33,0.7,2.5,348.4444,65.4884,145.3366,533.3333
arizona,Arizona,2002,1.46,0.33,0.69,2.48,346.0741,65.4884,143.2603,529.0667
arizona,Arizona,2003,1.41,0.37,0.71,2.49,334.2222,73.4264,147.4128,531.2
arizona,Arizona,2004,1.4,0.34,0.71,2.44,331.8519,67.4729,147.4128,520.5333
arizona,Arizona,2005,1.35,0.4,0.76,2.51,320.0,79.3798,157.794,535.4667
arizona,Arizona,2006,1.34,0.38,0.79,2.51,317.6296,75.4109,164.0227,535.4667
arizona,Arizona,2007,1.39,0.34,0.78,2.51,329.4815,67.4729,161.9465,535.4667
arizona,Arizona,2008,1.3,0.41,0.77,2.48,308.1481,81.3643,159.8702,529.0667
arizona,Arizona,2009,1.22,0.39,0.77,2.38,289.1852,77.3953,159.8702,507.7333
arizona,Arizona,2010,1.23,0.41,0.76,2.39,291.5556,81.3643,157.794,509.8667
arizona,Arizona,2011,1.15,0.44,0.8,2.39,272.5926,87.3178,166.0989,509.8667
arizona,Arizona,2012,1.14,0.45,0.84,2.43,270.2222,89.3023,174.4039,518.4
arizona,Arizona,2013,1.12,0.42,0.81,2.35,265.4815,83.3488,168.1752,501.3333
arizona,Arizona,2014,1.18,0.4,0.79,2.37,279.7037,79.3798,164.0227,505.6
arizona,Arizona,2015,1.16,0.4,0.78,2.34,274.963,79.3798,161.9465,499.2
arizona,Arizona,2016,1.14,0.4,0.79,2.32,270.2222,79.3798,164.0227,494.9333
arizona,Arizona,2017,1.11,0.39,0.79,2.29,263.1111,77.3953,164.0227,488.5333
arizona,Arizona,2018,1.08,0.39,0.79,2.25,256.0,77.3953,164.0227,480.0
arizona,Arizona,2019,1.06,0.38,0.8,2.23,251.2593,75.4109,166.0989,475.7333
arizona,Arizona,2020,1.09,0.39,0.84,2.31,258.3704,77.3953,174.4039,492.8
arizona,Arizona,2021,1.08,0.4,0.91,2.39,256.0,79.3798,188.9376,509.8667
arizona,Arizona,2022,1.03,0.39,0.95,2.37,244.1481,77.3953,197.2425,505.6
arizona,Arizona,2023,0.98,0.38,0.96,2.32,232.2963,75.4109,199.3187,494.9333
arkansas,Arkansas,1977,0.89,0.1,0.61,1.61,210.963,19.845,126.6504,343.4667
arkansas,Arkansas,1978,0.95,0.11,0.71,1.76,225.1852,21.8295,147.4128,375.4667
arkansas,Arkansas,1979,0.9,0.09,0.55,1.54,213.3333,17.8605,114.193,328.5333
arkansas,Arkansas,1980,1.0,0.12,0.68,1.81,237.037,23.814,141.1841,386.1333
arkansas,Arkansas,1981,1.06,0.12,0.68,1.86,251.2593,23.814,141.1841,396.8
arkansas,Arkansas,1982,1.03,0.12,0.63,1.78,244.1481,23.814,130.8029,379.7333
arkansas,Arkansas,1983,1.03,0.13,0.63,1.79,244.1481,25.7984,130.8029,381.8667
arkansas,Arkansas,1984,1.03,0.12,0.64,1.8,244.1481,23.814,132.8792,384.0
arkansas,Arkansas,1985,1.04,0.13,0.59,1.77,246.5185,25.7984,122.498,377.6
arkansas,Arkansas,1986,1.08,0.09,0.49,1.65,256.0,17.8605,101.7356,352.0
arkansas,Arkansas,1987,1.09,0.11,0.53,1.74,258.3704,21.8295,110.0406,371.2
arkansas,Arkansas,1988,1.09,0.14,0.54,1.78,258.3704,27.7829,112.1168,379.7333
arkansas,Arkansas,1989,1.1,0.13,0.58,1.82,260.7407,25.7984,120.4217,388.2667
arkansas,Arkansas,1990,1.12,0.13,0.61,1.86,265.4815,25.7984,126.6504,396.8
arkansas,Arkansas,1991,1.12,0.11,0.58,1.81,265.4815,21.8295,120.4217,386.1333
arkansas,Arkansas,1992,1.13,0.12,0.65,1.9,267.8519,23.814,134.9554,405.3333
arkansas,Arkansas,1993,1.1,0.11,0.58,1.79,260.7407,21.8295,120.4217,381.8667
arkansas,Arkansas,1994,1.06,0.13,0.46,1.65,251.2593,25.7984,95.5069,352.0
arkansas,Arkansas,1995,1.06,0.11,0.51,1.68,251.2593,21.8295,105.8881,358.4
arkansas,Arkansas,1996,1.07,0.12,0.53,1.72,253.6296,23.814,110.0406,366.9333
arkansas,Arkansas,1997,1.07,0.12,0.52,1.71,253.6296,23.814,107.9643,364.8
arkansas,Arkansas,1998,1.1,0.11,0.51,1.73,260.7407,21.8295,105.8881,369.0667
arkansas,Arkansas,1999,1.09,0.12,0.54,1.75,258.3704,23.814,112.1168,373.3333
arkansas,Arkansas,2000,1.09,0.12,0.53,1.74,258.3704,23.814,110.0406,371.2
arkansas,Arkansas,2001,1.08,0.13,0.53,1.74,256.0,25.7984,110.0406,371.2
arkansas,Arkansas,2002,1.09,0.14,0.53,1.75,258.3704,27.7829,110.0406,373.3333
arkansas,Arkansas,2003,1.06,0.14,0.56,1.77,251.2593,27.7829,116.2693,377.6
arkansas,Arkansas,2004,1.08,0.15,0.58,1.81,256.0,29.7674,120.4217,386.1333
arkansas,Arkansas,2005,1.04,0.16,0.58,1.78,246.5185,31.7519,120.4217,379.7333
arkansas,Arkansas,2006,1.05,0.16,0.59,1.8,248.8889,31.7519,122.498,384.0
arkansas,Arkansas,2007,1.05,0.17,0.59,1.81,248.8889,33.7364,122.498,386.1333
arkansas,Arkansas,2008,1.09,0.17,0.59,1.86,258.3704,33.7364,122.498,396.8
arkansas,Arkansas,2009,1.06,0.17,0.59,1.82,251.2593,33.7364,122.498,388.2667
arkansas,Arkansas,2010,1.04,0.17,0.59,1.8,246.5185,33.7364,122.498,384.0
arkansas,Arkansas,2011,0.97,0.18,0.56,1.72,229.9259,35.7209,116.2693,366.9333
arkansas,Arkansas,2012,1.0,0.2,0.6,1.8,237.037,39.6899,124.5742,384.0
arkansas,Arkansas,2013,1.0,0.2,0.6,1.8,237.037,39.6899,124.5742,384.0
arkansas,Arkansas,2014,0.96,0.21,0.62,1.79,227.5556,41.6744,128.7267,381.8667
arkansas,Arkansas,2015,0.97,0.22,0.65,1.83,229.9259,43.6589,134.9554,390.4
arkansas,Arkansas,2016,0.93,0.22,0.65,1.8,220.4444,43.6589,134.9554,384.0
arkansas,Arkansas,2017,0.92,0.23,0.67,1.82,218.0741,45.6434,139.1079,388.2667
arkansas,Arkansas,2018,0.9,0.23,0.64,1.78,213.3333,45.6434,132.8792,379.7333
arkansas,Arkansas,2019,0.87,0.24,0.7,1.81,206.2222,47.6279,145.3366,386.1333
arkansas,Arkansas,2020,0.92,0.27,0.76,1.94,218.0741,53.5814,157.794,413.8667
arkansas,Arkansas,2021,0.94,0.26,0.76,1.96,222.8148,51.5969,157.794,418.1333
arkansas,Arkansas,2022,0.92,0.23,0.79,1.94,218.0741,45.6434,164.0227,413.8667
arkansas,Arkansas,2023,0.88,0.24,0.75,1.87,208.5926,47.6279,155.7178,398.9333
california,California,1977,1.29,0.65,1.25,3.19,305.7778,128.9922,259.5296,680.5333
california,California,1978,1.33,0.67,1.29,3.28,315.2593,132.9612,267.8345,699.7333
california,California,1979,1.39,0.68,1.25,3.32,329.4815,134.9457,259.5296,708.2667
california,California,1980,1.41,0.71,1.24,3.36,334.2222,140.8992,257.4534,716.8
california,California,1981,1.43,0.72,1.2,3.35,338.963,142.8837,249.1484,714.6667
california,California,1982,1.37,0.72,1.13,3.22,324.7407,142.8837,234.6148,686.9333
california,California,1983,1.36,0.74,1.1,3.21,322.3704,146.8527,228.3861,684.8
california,California,1984,1.37,0.73,1.06,3.16,324.7407,144.8682,220.0811,674.1333
california,California,1985,1.32,0.78,1.02,3.11,312.8889,154.7907,211.7762,663.4667
california,California,1986,1.35,0.78,0.95,3.08,320.0,154.7907,197.2425,657.0667
california,California,1987,1.35,0.73,0.92,3.0,320.0,144.8682,191.0138,640.0
california,California,1988,1.32,0.67,0.88,2.86,312.8889,132.9612,182.7088,610.1333
california,California,1989,1.29,0.6,0.85,2.75,305.7778,119.0698,176.4801,586.6667
california,California,1990,1.32,0.59,0.87,2.78,312.8889,117.0853,180.6326,593.0667
california,California,1991,1.22,0.49,0.75,2.46,289.1852,97.2403,155.7178,524.8
california,California,1992,1.28,0.51,0.75,2.54,303.4074,101.2093,155.7178,541.8667
california,California,1993,1.17,0.48,0.69,2.35,277.3333,95.2558,143.2603,501.3333
california,California,1994,1.09,0.47,0.68,2.24,258.3704,93.2713,141.1841,477.8667
california,California,1995,1.15,0.46,0.63,2.24,272.5926,91.2868,130.8029,477.8667
california,California,1996,1.13,0.5,0.64,2.27,267.8519,99.2248,132.8792,484.2667
california,California,1997,1.14,0.52,0.62,2.28,270.2222,103.1938,128.7267,486.4
california,California,1998,1.11,0.49,0.61,2.21,263.1111,97.2403,126.6504,471.4667
california,California,1999,1.12,0.48,0.62,2.22,265.4815,95.2558,128.7267,473.6
california,California,2000,1.12,0.48,0.64,2.24,265.4815,95.2558,132.8792,477.8667
california,California,2001,1.09,0.48,0.63,2.2,258.3704,95.2558,130.8029,469.3333
california,California,2002,1.08,0.49,0.64,2.21,256.0,97.2403,132.8792,471.4667
california,California,2003,1.07,0.51,0.65,2.23,253.6296,101.2093,134.9554,475.7333
california,California,2004,1.07,0.52,0.67,2.25,253.6296,103.1938,139.1079,480.0
california,California,2005,1.03,0.54,0.69,2.26,244.1481,107.1628,143.2603,482.1333
california,California,2006,1.02,0.56,0.7,2.29,241.7778,111.1318,145.3366,488.5333
california,California,2007,1.06,0.54,0.7,2.3,251.2593,107.1628,145.3366,490.6667
california,California,2008,1.05,0.55,0.7,2.3,248.8889,109.1473,145.3366,490.6667
california,California,2009,1.01,0.57,0.7,2.28,239.4074,113.1163,145.3366,486.4
california,California,2010,0.97,0.49,0.71,2.16,229.9259,97.2403,147.4128,460.8
california,California,2011,0.95,0.58,0.72,2.25,225.1852,115.1008,149.4891,480.0
california,California,2012,0.99,0.63,0.74,2.35,234.6667,125.0233,153.6415,501.3333
california,California,2013,0.98,0.6,0.75,2.33,232.2963,119.0698,155.7178,497.0667
california,California,2014,1.0,0.6,0.73,2.33,237.037,119.0698,151.5653,497.0667
california,California,2015,1.0,0.53,0.75,2.28,237.037,105.1783,155.7178,486.4
california,California,2016,0.96,0.6,0.78,2.34,227.5556,119.0698,161.9465,499.2
california,California,2017,0.94,0.58,0.78,2.31,222.8148,115.1008,161.9465,492.8
california,California,2018,1.0,0.62,0.87,2.49,237.037,123.0388,180.6326,531.2
california,California,2019,1.05,0.61,0.91,2.57,248.8889,121.0543,188.9376,548.2667
california,California,2020,1.06,0.62,0.95,2.63,251.2593,123.0388,197.2425,561.0667
california,California,2021,1.11,0.63,1.1,2.84,263.1111,125.0233,228.3861,605.8667
california,California,2022,1.11,0.63,1.2,2.93,263.1111,125.0233,249.1484,625.0667
california,California,2023,1.09,0.61,1.27,2.98,258.3704,121.0543,263.6821,635.7333
colorado,Colorado,1977,1.4,0.36,1.19,2.95,331.8519,71.4419,247.0722,629.3333
colorado,Colorado,1978,1.6,0.46,1.39,3.46,379.2593,91.2868,288.5969,738.1333
colorado,Colorado,1979,1.63,0.46,1.33,3.42,386.3704,91.2868,276.1395,729.6
colorado,Colorado,1980,1.56,0.46,1.31,3.33,369.7778,91.2868,271.987,710.4
colorado,Colorado,1981,1.62,0.44,1.26,3.32,384.0,87.3178,261.6058,708.2667
colorado,Colorado,1982,1.63,0.46,1.17,3.26,386.3704,91.2868,242.9197,695.4667
colorado,Colorado,1983,1.57,0.46,1.12,3.15,372.1481,91.2868,232.5385,672.0
colorado,Colorado,1984,1.51,0.46,1.12,3.1,357.9259,91.2868,232.5385,661.3333
colorado,Colorado,1985,1.48,0.5,1.18,3.17,350.8148,99.2248,244.9959,676.2667
colorado,Colorado,1986,1.49,0.47,0.95,2.9,353.1852,93.2713,197.2425,618.6667
colorado,Colorado,1987,1.45,0.45,0.94,2.84,343.7037,89.3023,195.1663,605.8667
colorado,Colorado,1988,1.44,0.4,0.92,2.76,341.3333,79.3798,191.0138,588.8
colorado,Colorado,1989,1.42,0.38,0.85,2.64,336.5926,75.4109,176.4801,563.2
colorado,Colorado,1990,1.35,0.29,0.75,2.39,320.0,57.5504,155.7178,509.8667
colorado,Colorado,1991,1.39,0.35,0.87,2.61,329.4815,69.4574,180.6326,556.8
colorado,Colorado,1992,1.34,0.36,0.81,2.52,317.6296,71.4419,168.1752,537.6
colorado,Colorado,1993,1.4,0.36,0.86,2.63,331.8519,71.4419,178.5564,561.0667
colorado,Colorado,1994,1.36,0.35,0.84,2.55,322.3704,69.4574,174.4039,544.0
colorado,Colorado,1995,1.34,0.35,0.78,2.47,317.6296,69.4574,161.9465,526.9333
colorado,Colorado,1996,1.36,0.37,0.84,2.57,322.3704,73.4264,174.4039,548.2667
colorado,Colorado,1997,1.3,0.37,0.81,2.48,308.1481,73.4264,168.1752,529.0667
colorado,Colorado,1998,1.33,0.37,0.83,2.53,315.2593,73.4264,172.3277,539.7333
colorado,Colorado,1999,1.33,0.37,0.75,2.45,315.2593,73.4264,155.7178,522.6667
colorado,Colorado,2000,1.35,0.37,0.89,2.6,320.0,73.4264,184.7851,554.6667
colorado,Colorado,2001,1.42,0.41,0.96,2.78,336.5926,81.3643,199.3187,593.0667
colorado,Colorado,2002,1.35,0.39,0.9,2.64,320.0,77.3953,186.8613,563.2
colorado,Colorado,2003,1.33,0.4,0.87,2.6,315.2593,79.3798,180.6326,554.6667
colorado,Colorado,2004,1.3,0.43,0.95,2.68,308.1481,85.3333,197.2425,571.7333
colorado,Colorado,2005,1.31,0.42,0.99,2.72,310.5185,83.3488,205.5474,580.2667
colorado,Colorado,2006,1.29,0.45,0.98,2.72,305.7778,89.3023,203.4712,580.2667
colorado,Colorado,2007,1.3,0.47,1.01,2.78,308.1481,93.2713,209.6999,593.0667
colorado,Colorado,2008,1.28,0.47,1.02,2.77,303.4074,93.2713,211.7762,590.9333
colorado,Colorado,2009,1.23,0.46,1.01,2.7,291.5556,91.2868,209.6999,576.0
colorado,Colorado,2010,1.22,0.48,1.01,2.71,289.1852,95.2558,209.6999,578.1333
colorado,Colorado,2011,1.2,0.49,1.04,2.72,284.4444,97.2403,215.9286,580.2667
colorado,Colorado,2012,1.15,0.52,1.08,2.76,272.5926,103.1938,224.2336,588.8
colorado,Colorado,2013,1.2,0.5,1.11,2.81,284.4444,99.2248,230.4623,599.4667
colorado,Colorado,2014,1.14,0.51,1.11,2.77,270.2222,101.2093,230.4623,590.9333
colorado,Colorado,2015,1.12,0.51,1.14,2.77,265.4815,101.2093,236.691,590.9333
colorado,Colorado,2016,1.14,0.51,1.16,2.82,270.2222,101.2093,240.8435,601.6
colorado,Colorado,2017,1.14,0.51,1.19,2.84,270.2222,101.2093,247.0722,605.8667
colorado,Colorado,2018,1.14,0.52,1.23,2.88,270.2222,103.1938,255.3771,614.4
colorado,Colorado,2019,1.17,0.47,1.14,2.78,277.3333,93.2713,236.691,593.0667
colorado,Colorado,2020,1.14,0.51,1.33,2.98,270.2222,101.2093,276.1395,635.7333
colorado,Colorado,2021,1.17,0.49,1.39,3.06,277.3333,97.2403,288.5969,652.8
colorado,Colorado,2022,1.13,0.47,1.48,3.08,267.8519,93.2713,307.283,657.0667
colorado,Colorado,2023,1.08,0.5,1.49,3.07,256.0,99.2248,309.3593,654.9333
connecticut,Connecticut,1977,1.06,0.35,1.23,2.64,251.2593,69.4574,255.3771,563.2
connecticut,Connecticut,1978,1.09,0.38,1.21,2.69,258.3704,75.4109,251.2247,573.8667
connecticut,Connecticut,1979,1.14,0.4,1.21,2.76,270.2222,79.3798,251.2247,588.8
connecticut,Connecticut,1980,1.06,0.43,1.2,2.69,251.2593,85.3333,249.1484,573.8667
connecticut,Connecticut,1981,1.05,0.44,1.18,2.67,248.8889,87.3178,244.9959,569.6
connecticut,Connecticut,1982,1.04,0.49,1.21,2.74,246.5185,97.2403,251.2247,584.5333
connecticut,Connecticut,1983,1.1,0.49,1.22,2.8,260.7407,97.2403,253.3009,597.3333
connecticut,Connecticut,1984,1.1,0.49,1.19,2.78,260.7407,97.2403,247.0722,593.0667
connecticut,Connecticut,1985,1.12,0.5,1.19,2.81,265.4815,99.2248,247.0722,599.4667
connecticut,Connecticut,1986,1.11,0.51,1.14,2.76,263.1111,101.2093,236.691,588.8
connecticut,Connecticut,1987,1.14,0.51,1.1,2.75,270.2222,101.2093,228.3861,586.6667
connecticut,Connecticut,1988,1.12,0.5,1.05,2.67,265.4815,99.2248,218.0049,569.6
connecticut,Connecticut,1989,1.07,0.46,0.96,2.5,253.6296,91.2868,199.3187,533.3333
